County,Value,Rank, FIPS 
United States,"69,021",N/A,00000
"Issaquena County, Mississippi","17,109","3,141",28055
"Wolfe County, Kentucky","24,349","3,140",21237
"Holmes County, Mississippi","24,958","3,139",28051
"Dimmit County, Texas","25,000","3,138",48127
"East Carroll Parish, Louisiana","25,049","3,137",22035
"Jackson County, South Dakota","25,357","3,136",46071
"Quitman County, Mississippi","25,783","3,135",28119
"Todd County, South Dakota","26,250","3,134",46121
"Presidio County, Texas","26,395","3,133",48377
"Wheeler County, Georgia","26,776","3,132",13309
"Brooks County, Texas","26,827","3,131",48047
"Perry County, Alabama","27,057","3,130",01105
"Sumter County, Alabama","27,099","3,129",01119
"Greene County, Alabama","28,826","3,128",01063
"Randolph County, Georgia","28,870","3,127",13243
"Jenkins County, Georgia","29,061","3,126",13165
"Bullock County, Alabama","29,063","3,125",01011
"Lee County, Arkansas","29,082","3,124",05077
"Jefferson County, Mississippi","29,205","3,123",28063
"Knox County, Kentucky","29,206","3,122",21121
"Owsley County, Kentucky","29,340","3,121",21189
"Claiborne Parish, Louisiana","29,574","3,120",22027
"Magoffin County, Kentucky","29,615","3,119",21153
"Hancock County, Tennessee","29,650","3,118",47067
"Lee County, Kentucky","29,817","3,117",21129
"McDowell County, West Virginia","30,127","3,116",54047
"Leflore County, Mississippi","30,182","3,115",28083
"Harlan County, Kentucky","30,210","3,114",21095
"Humphreys County, Mississippi","30,327","3,113",28053
"Webster Parish, Louisiana","31,197","3,112",22119
"Claiborne County, Mississippi","31,305","3,111",28021
"Coahoma County, Mississippi","31,312","3,110",28027
"Amite County, Mississippi","31,367","3,109",28005
"Wilkinson County, Mississippi","31,412","3,108",28157
"Tallahatchie County, Mississippi","31,484","3,107",28135
"Quitman County, Georgia","31,594","3,106",13239
"Esmeralda County, Nevada","31,667","3,105",32009
"Allendale County, South Carolina","31,800","3,104",45005
"Lowndes County, Alabama","31,961","3,103",01085
"Webster County, Georgia","32,083","3,102",13307
"Bell County, Kentucky","32,123","3,101",21013
"Hickory County, Missouri","32,132","3,100",29085
"Marlboro County, South Carolina","32,136","3,099",45069
"Phillips County, Arkansas","32,235","3,098",05107
"Breathitt County, Kentucky","32,259","3,097",21025
"Hale County, Alabama","32,294","3,096",01065
"Bienville Parish, Louisiana","32,328","3,095",22013
"Lewis County, Kentucky","32,402","3,094",21135
"Hudspeth County, Texas","32,404","3,093",48229
"Evangeline Parish, Louisiana","32,465","3,092",22039
"Sunflower County, Mississippi","32,608","3,091",28133
"Monroe County, Alabama","32,631","3,090",01099
"DeBaca County, New Mexico","32,750","3,089",35011
"Stone County, Arkansas","32,813","3,088",05137
"Washington County, North Carolina","32,937","3,087",37187
"Tensas Parish, Louisiana","32,962","3,086",22107
"Quay County, New Mexico","33,067","3,085",35037
"Macon County, Georgia","33,163","3,084",13193
"Oglala Lakota County, South Dakota","33,192","3,083",46102
"Desha County, Arkansas","33,295","3,082",05041
"Starr County, Texas","33,334","3,081",48427
"Clay County, Kentucky","33,399","3,080",21051
"Baker County, Georgia","33,417","3,079",13007
"Fulton County, Kentucky","33,567","3,078",21075
"Piute County, Utah","33,611","3,077",49031
"Jackson County, Kentucky","33,699","3,076",21109
"Bolivar County, Mississippi","33,729","3,075",28011
"Morehouse Parish, Louisiana","33,758","3,074",22067
"Chicot County, Arkansas","33,770","3,073",05017
"Adams County, Mississippi","33,860","3,072",28001
"Dickenson County, Virginia","33,905","3,071",51051
"Luna County, New Mexico","33,914","3,070",35029
"McCreary County, Kentucky","33,939","3,069",21147
"Hancock County, Georgia","33,946","3,068",13141
"Lanier County, Georgia","33,956","3,067",13173
"Natchitoches Parish, Louisiana","33,965","3,066",22069
"Culberson County, Texas","34,239","3,065",48109
"Marion County, Mississippi","34,286","3,064",28091
"Dallas County, Arkansas","34,337","3,063",05039
"Green County, Kentucky","34,363","3,062",21087
"Washington County, Mississippi","34,399","3,061",28151
"Zapata County, Texas","34,406","3,060",48505
"Ben Hill County, Georgia","34,455","3,059",13017
"Marion County, South Carolina","34,465","3,058",45067
"Leslie County, Kentucky","34,528","3,057",21131
"Cumberland County, Kentucky","34,563","3,056",21057
"Walthall County, Mississippi","34,605","3,055",28147
"Wilkinson County, Georgia","34,680","3,054",13319
"Wayne County, Mississippi","34,766","3,053",28153
"Jefferson Davis County, Mississippi","34,771","3,052",28065
"Apache County, Arizona","34,788","3,051",04001
"Lake County, Tennessee","34,923","3,050",47095
"Dallas County, Alabama","34,957","3,049",01047
"St. Francis County, Arkansas","34,981","3,048",05123
"Costilla County, Colorado","35,000","3,047",08023
"Clinton County, Kentucky","35,042","3,046",21053
"Letcher County, Kentucky","35,278","3,045",21133
"Falls County, Texas","35,317","3,044",48145
"Mingo County, West Virginia","35,349","3,043",54059
"Marengo County, Alabama","35,379","3,042",01091
"Guadalupe County, New Mexico","35,409","3,041",35019
"Treutlen County, Georgia","35,441","3,040",13283
"Knott County, Kentucky","35,583","3,039",21119
"Norton City, Virginia","35,592","3,038",51720
"Clay County, Mississippi","35,638","3,037",28025
"Mellette County, South Dakota","35,726","3,036",46095
"Atkinson County, Georgia","35,741","3,035",13003
"Turner County, Georgia","35,828","3,034",13287
"Pemiscot County, Missouri","35,865","3,033",29155
"Clay County, Georgia","35,893","3,032",13061
"Harding County, New Mexico","35,900","3,031",35021
"Montgomery County, Mississippi","35,903","3,030",28097
"Sierra County, New Mexico","35,939","3,029",35051
"Oregon County, Missouri","35,972","3,028",29149
"Lafayette County, Arkansas","36,083","3,027",05073
"Ripley County, Missouri","36,089","3,026",29181
"Emporia City, Virginia","36,111","3,025",51595
"Concordia Parish, Louisiana","36,157","3,024",22029
"Lee County, South Carolina","36,195","3,023",45061
"Attala County, Mississippi","36,196","3,022",28007
"Taylor County, Georgia","36,293","3,021",13269
"Pike County, Mississippi","36,308","3,020",28113
"Estill County, Kentucky","36,336","3,019",21065
"Wilcox County, Alabama","36,385","3,018",01131
"Ozark County, Missouri","36,402","3,017",29153
"Barbour County, Alabama","36,422","3,016",01005
"Elliott County, Kentucky","36,455","3,015",21063
"San Miguel County, New Mexico","36,492","3,014",35047
"Sumter County, Georgia","36,687","3,013",13261
"Robeson County, North Carolina","36,736","3,012",37155
"Candler County, Georgia","36,763","3,011",13043
"Martinsville City, Virginia","36,832","3,010",51690
"Madison Parish, Louisiana","36,875","3,009",22065
"Pike County, Kentucky","36,910","3,008",21195
"Fulton County, Arkansas","36,950","3,007",05049
"Kiowa County, Oklahoma","36,985","3,006",40075
"Lawrence County, Kentucky","37,014","3,005",21127
"Buchanan County, Virginia","37,093","3,004",51027
"Clay County, West Virginia","37,197","3,003",54015
"Pocahontas County, West Virginia","37,225","3,002",54075
"Warren County, Georgia","37,309","3,001",13301
"Jim Hogg County, Texas","37,342","3,000",48247
"Floyd County, Kentucky","37,360","2,999",21071
"Sharp County, Arkansas","37,361","2,998",05135
"Camas County, Idaho","37,367","2,997",16025
"Calhoun County, West Virginia","37,428","2,996",54013
"Union County, New Mexico","37,443","2,995",35059
"Mora County, New Mexico","37,549","2,994",35033
"Bertie County, North Carolina","37,571","2,993",37015
"Lee County, Virginia","37,574","2,992",51105
"Catron County, New Mexico","37,623","2,991",35003
"Kemper County, Mississippi","37,667","2,990",28069
"Foard County, Texas","37,679","2,989",48155
"Casey County, Kentucky","37,694","2,988",21045
"Webster County, West Virginia","37,720","2,987",54101
"Halifax County, North Carolina","37,832","2,986",37083
"Choctaw County, Mississippi","37,859","2,985",28019
"Crowley County, Colorado","37,870","2,984",08025
"Avoyelles Parish, Louisiana","37,903","2,983",22009
"Adair County, Oklahoma","37,940","2,982",40001
"Chattooga County, Georgia","37,946","2,981",13055
"Kusilvak Census Area, Alaska","37,975","2,980",02158
"Conecuh County, Alabama","37,986","2,979",01035
"Texas County, Missouri","37,994","2,978",29215
"Orangeburg County, South Carolina","38,052","2,977",45075
"Glades County, Florida","38,088","2,976",12043
"Calhoun County, Florida","38,098","2,975",12013
"Newton County, Texas","38,116","2,974",48351
"Cochran County, Texas","38,203","2,973",48079
"Brantley County, Georgia","38,211","2,972",13025
"Barnwell County, South Carolina","38,237","2,971",45011
"Socorro County, New Mexico","38,242","2,970",35053
"Franklin Parish, Louisiana","38,250","2,969",22041
"Corson County, South Dakota","38,281","2,968",46031
"Hampton County, South Carolina","38,298","2,967",45049
"Scott County, Tennessee","38,409","2,966",47151
"Lincoln Parish, Louisiana","38,458","2,965",22061
"Escambia County, Alabama","38,464","2,964",01053
"Briscoe County, Texas","38,469","2,963",48045
"Logan County, West Virginia","38,493","2,962",54045
"Buffalo County, South Dakota","38,523","2,961",46017
"Conejos County, Colorado","38,536","2,960",08021
"Choctaw County, Alabama","38,581","2,959",01023
"Roane County, West Virginia","38,608","2,958",54087
"Chickasaw County, Mississippi","38,620","2,957",28017
"Jeff Davis County, Texas","38,659","2,956",48243
"Lewis County, Tennessee","38,664","2,955",47101
"Clay County, Tennessee","38,709","2,954",47027
"Ziebach County, South Dakota","38,750","2,953",46137
"Hendry County, Florida","38,843","2,952",12051
"Choctaw County, Oklahoma","38,854","2,951",40023
"Terrell County, Georgia","38,879","2,950",13273
"Wheatland County, Montana","38,893","2,949",30107
"Danville City, Virginia","38,904","2,948",51590
"Richmond County, North Carolina","38,926","2,947",37153
"Alleghany County, North Carolina","38,930","2,946",37005
"Sharkey County, Mississippi","38,977","2,945",28125
"Noxubee County, Mississippi","38,999","2,944",28103
"Stewart County, Georgia","39,020","2,943",13259
"Mississippi County, Missouri","39,127","2,942",29133
"Jackson County, Arkansas","39,154","2,941",05067
"Washington Parish, Louisiana","39,168","2,940",22117
"Bladen County, North Carolina","39,259","2,939",37017
"Macon County, Alabama","39,303","2,938",01087
"Benton County, Mississippi","39,311","2,937",28009
"Monroe County, Kentucky","39,334","2,936",21171
"Hamilton County, Florida","39,346","2,935",12047
"Washington County, Georgia","39,350","2,934",13303
"Willacy County, Texas","39,401","2,933",48489
"Ware County, Georgia","39,419","2,932",13299
"Grant County, New Mexico","39,429","2,931",35017
"Glacier County, Montana","39,441","2,930",30035
"Lawrence County, Mississippi","39,443","2,929",28077
"Colfax County, New Mexico","39,483","2,928",35007
"Powell County, Kentucky","39,493","2,927",21197
"Madison County, Florida","39,503","2,926",12079
"Howard County, Arkansas","39,558","2,925",05061
"Appling County, Georgia","39,588","2,923",13001
"Warren County, North Carolina","39,588","2,923",37185
"Searcy County, Arkansas","39,627","2,922",05129
"Dooly County, Georgia","39,641","2,921",13093
"Leake County, Mississippi","39,660","2,920",28079
